path,hasLower,hasNums,hasBrackets
fonts/01 DigiGraphics.ttf,True,True,True
fonts/0629____.TTF,False,False,False
fonts/0802F___.TTF,False,False,False
fonts/0927____.TTF,False,True,False
fonts/1.ttf,False,True,False
fonts/10.10___.TTF,False,True,False
fonts/10.12-4_.TTF,True,True,False
fonts/1015sn.ttf,True,True,True
fonts/1015snr.ttf,True,True,True
fonts/106beats.ttf,True,True,False
fonts/111.otf,False,True,True
fonts/18holes.ttf,True,True,True
fonts/18thCtrKurStart.ttf,True,True,True
fonts/18thCtrKurTxt.ttf,True,True,True
fonts/1980 portable.otf,True,True,True
fonts/1_Ichiro.otf,True,True,True
fonts/20db.otf,False,True,True
fonts/22203___.TTF,False,True,False
fonts/256 bytes.otf,True,True,True
fonts/2PROT___.TTF,False,True,True
fonts/32768no.ttf,False,True,True
fonts/36daysag.ttf,True,True,True
fonts/36daythk.ttf,True,True,True
fonts/3D-Thirteen-Pixel-Fonts.ttf,True,True,True
fonts/3DAnimals.ttf,False,False,False
fonts/3M Ampleset.otf,True,True,True
fonts/3M Trislan.ttf,True,True,True
fonts/3PROT___.TTF,False,True,True
fonts/3dlet.ttf,True,True,False
fonts/3rd Man.otf,False,True,True
fonts/3rd Man.ttf,False,True,True
fonts/42.ttf,False,True,False
fonts/47-Bold.otf,False,True,False
fonts/47-Bold.ttf,False,True,False
fonts/47-BoldItalic.otf,False,True,False
fonts/47-BoldItalic.ttf,False,True,False
fonts/4kstncl.ttf,False,True,True
fonts/4shadow.ttf,False,True,True
fonts/4shadowo.ttf,False,True,True
fonts/5by7.ttf,True,True,True
fonts/5by7_b.ttf,True,True,True
fonts/5thgradecursive-2-italic.ttf,True,True,True
fonts/5thgradecursive-2.ttf,True,True,True
fonts/5yearsoldfont.ttf,True,True,True
fonts/6809 chargen.ttf,True,True,True
fonts/712_serif.ttf,True,True,True
fonts/7hours.ttf,False,True,False
fonts/8bitlim.ttf,True,True,False
fonts/8bitlimo.ttf,True,True,False
fonts/8bitlimr.ttf,True,True,False
fonts/8blimro.ttf,True,True,False
fonts/90stars.ttf,True,True,True
fonts/A Bebedera.ttf,True,True,True
fonts/A bebedera-heavy.otf,True,True,True
fonts/ABeeZee-Italic.ttf,True,True,True
fonts/ABeeZee-Regular.ttf,True,True,True
fonts/ABlackCrown.ttf,True,True,True
fonts/ACFilmstrip.otf,True,True,False
fonts/ACFramed.otf,False,True,False
fonts/ACFramedInverted.otf,False,True,False
fonts/ACFramedOutline.otf,False,True,False
fonts/ACMountain-Inverted.otf,False,True,False
fonts/ACMountain.otf,False,True,False
fonts/AC_Brodie.otf,True,True,False
fonts/AD.ttf,False,True,False
fonts/AGATM___.TTF,True,True,True
fonts/AGATRG__.TTF,True,True,True
fonts/AIRBORNE GP.ttf,True,True,True
fonts/ALFABET_.ttf,True,True,False
fonts/ALLLICKS.TTF,True,True,False
fonts/AMERIKAA.ttf,True,True,False
fonts/AMERIKA_.ttf,True,True,True
fonts/AMERSN__.ttf,True,True,True
fonts/ANKOR___.ttf,True,True,True
fonts/ANTHC___.TTF,True,True,True
fonts/ANTSYPAN.TTF,True,True,True
fonts/ANYWB___.TTF,True,True,True
fonts/ANYWL___.TTF,True,True,True
fonts/ARashNaziBlurb.ttf,True,True,True
fonts/ASENINE_.ttf,True,True,True
fonts/ASENST__.ttf,True,True,True
fonts/ASENT___.ttf,True,True,True
fonts/ASENW___.ttf,True,True,True
fonts/ASHBBI__.ttf,True,True,True
fonts/ASHBBLI_.ttf,True,True,True
fonts/ASHBBL__.ttf,True,True,True
fonts/ASHBB___.ttf,True,True,True
fonts/ASHBEBI_.ttf,True,True,True
fonts/ASHBEB__.ttf,True,True,True
fonts/ASHBLI__.ttf,True,True,True
fonts/ASHBL___.ttf,True,True,True
fonts/ASHBMI__.ttf,True,True,True
fonts/ASHBM___.ttf,True,True,True
fonts/ASHBOI__.ttf,True,True,True
fonts/ASHBW___.ttf,True,True,True
fonts/ASTRO867.TTF,False,True,False
fonts/ASTRO868.TTF,False,True,False
fonts/ASTRO869.TTF,True,True,False
fonts/ASWEB___.TTF,True,True,True
fonts/ASWELL__.TTF,True,True,True
fonts/AUTOMANI.TTF,False,True,False
fonts/Aaargh.ttf,True,True,True
fonts/Aafia-Italic.otf,True,True,False
fonts/Aafia.otf,True,True,False
fonts/Aafia3D-Italic.otf,True,True,False
fonts/Aafia3D.otf,True,True,False
fonts/Aaram-Regular.ttf,True,True,True
fonts/AarcoverRegular.ttf,False,True,False
fonts/Abandoned-Bold.ttf,False,True,False
fonts/Abandoned-BoldItalic.ttf,False,True,False
fonts/Abandoned-Italic.ttf,False,True,False
fonts/Abandoned.ttf,False,True,False
fonts/Abbild.ttf,False,False,False
fonts/Abel-Regular.ttf,True,True,True
fonts/AbhayaLibre-Bold.ttf,True,True,True
fonts/AbhayaLibre-ExtraBold.ttf,True,True,True
fonts/AbhayaLibre-Medium.ttf,True,True,True
fonts/AbhayaLibre-Regular.ttf,True,True,True
fonts/AbhayaLibre-SemiBold.ttf,True,True,True
fonts/Abirhand one.ttf,True,True,True
fonts/AbrilFatface-Regular.ttf,True,True,True
fonts/Absinthe.ttf,True,True,True
fonts/AcariSans-Bold.ttf,True,True,True
fonts/AcariSans-BoldItalic.ttf,True,True,True
fonts/AcariSans-ExtraBold.ttf,True,True,True
fonts/AcariSans-ExtraBoldItalic.ttf,True,True,True
fonts/AcariSans-ExtraLight.ttf,True,True,True
fonts/AcariSans-ExtraLightItalic.ttf,True,True,True
fonts/AcariSans-Italic.ttf,True,True,True
fonts/AcariSans-Light.ttf,True,True,True
fonts/AcariSans-LightItalic.ttf,True,True,True
fonts/AcariSans-Medium.ttf,True,True,True
fonts/AcariSans-MediumItalic.ttf,True,True,True
fonts/AcariSans-Regular.ttf,True,True,True
fonts/AcariSans-SemiBold.ttf,True,True,True
fonts/AcariSans-SemiBoldItalic.ttf,True,True,True
fonts/AccanthisADFStd-Bold.otf,True,True,True
fonts/AccanthisADFStd-BoldItalic.otf,True,True,True
fonts/AccanthisADFStd-Italic.otf,True,True,True
fonts/AccanthisADFStd-Regular.otf,True,True,True
fonts/AccanthisADFStdNo2-Bold.otf,True,True,True
fonts/AccanthisADFStdNo2-BoldItalic.otf,True,True,True
fonts/AccanthisADFStdNo2-Italic.otf,True,True,True
fonts/AccanthisADFStdNo2-Regular.otf,True,True,True
fonts/AccanthisADFStdNo3-Bold.otf,True,True,True
fonts/AccanthisADFStdNo3-BoldItalic.otf,True,True,True
fonts/AccanthisADFStdNo3-Italic.otf,True,True,True
fonts/AccanthisADFStdNo3-Regular.otf,True,True,True
fonts/Accuratist.otf,True,True,True
fonts/Accuratist.ttf,True,True,True
fonts/Achafexp.ttf,True,True,True
fonts/Achafita.ttf,True,True,True
fonts/Achaflft.ttf,True,True,True
fonts/Achafont.ttf,True,True,True
fonts/Achafout.ttf,True,True,True
fonts/Achafsex.ttf,True,True,True
