path,hasLower,hasNums,hasBrackets,base_size
fonts/01 DigiGraphics.ttf,True,True,True,29
fonts/0629____.TTF,False,False,False,31
fonts/0802F___.TTF,False,False,False,31
fonts/0927____.TTF,False,True,False,26
fonts/1.ttf,False,True,False,23
fonts/10.10___.TTF,False,True,False,32
fonts/10.12-4_.TTF,True,True,False,22
fonts/1015sn.ttf,True,True,True,19
fonts/1015snr.ttf,True,True,True,21
fonts/106beats.ttf,True,True,False,34
fonts/111.otf,False,True,True,35
fonts/18holes.ttf,True,True,True,25
fonts/18thCtrKurStart.ttf,True,True,True,18
fonts/18thCtrKurTxt.ttf,True,True,True,20
fonts/1980 portable.otf,True,True,True,20
fonts/1_Ichiro.otf,True,True,True,40
fonts/20db.otf,False,True,True,24
fonts/22203___.TTF,False,True,False,31
fonts/256 bytes.otf,True,True,True,28
fonts/2PROT___.TTF,False,True,True,26
fonts/32768no.ttf,False,True,True,30
fonts/36daysag.ttf,True,True,True,27
fonts/36daythk.ttf,True,True,True,27
fonts/3D-Thirteen-Pixel-Fonts.ttf,True,True,True,35
fonts/3DAnimals.ttf,False,False,False,36
fonts/3M Ampleset.otf,True,True,True,25
fonts/3M Trislan.ttf,True,True,True,26
fonts/3PROT___.TTF,False,True,True,25
fonts/3dlet.ttf,True,True,False,34
fonts/3rd Man.otf,False,True,True,26
fonts/3rd Man.ttf,False,True,True,25
fonts/42.ttf,False,True,False,26
fonts/47-Bold.otf,False,True,False,25
fonts/47-Bold.ttf,False,True,False,25
fonts/47-BoldItalic.otf,False,True,False,25
fonts/47-BoldItalic.ttf,False,True,False,25
fonts/4kstncl.ttf,False,True,True,40
fonts/4shadow.ttf,False,True,True,36
fonts/4shadowo.ttf,False,True,True,36
fonts/5by7.ttf,True,True,True,36
fonts/5by7_b.ttf,True,True,True,35
fonts/5thgradecursive-2-italic.ttf,True,True,True,12
fonts/5thgradecursive-2.ttf,True,True,True,12
fonts/5yearsoldfont.ttf,True,True,True,26
fonts/6809 chargen.ttf,True,True,True,31
fonts/712_serif.ttf,True,True,True,39
fonts/7hours.ttf,False,True,False,25
fonts/8bitlim.ttf,True,True,False,25
fonts/8bitlimo.ttf,True,True,False,24
fonts/8bitlimr.ttf,True,True,False,24
fonts/8blimro.ttf,True,True,False,24
fonts/90stars.ttf,True,True,True,24
fonts/A Bebedera.ttf,True,True,True,25
fonts/A bebedera-heavy.otf,True,True,True,25
fonts/ABeeZee-Italic.ttf,True,True,True,25
fonts/ABeeZee-Regular.ttf,True,True,True,25
fonts/ABlackCrown.ttf,True,True,True,27
fonts/ACFilmstrip.otf,True,True,False,27
fonts/ACFramed.otf,False,True,False,27
fonts/ACFramedInverted.otf,False,True,False,29
fonts/ACFramedOutline.otf,False,True,False,28
fonts/ACMountain-Inverted.otf,False,True,False,26
fonts/ACMountain.otf,False,True,False,31
fonts/AC_Brodie.otf,True,True,False,24
fonts/AD.ttf,False,True,False,29
fonts/AGATM___.TTF,True,True,True,16
fonts/AGATRG__.TTF,True,True,True,15
fonts/AIRBORNE GP.ttf,True,True,True,22
fonts/ALFABET_.ttf,True,True,False,31
fonts/ALLLICKS.TTF,True,True,False,28
fonts/AMERIKAA.ttf,True,True,False,26
fonts/AMERIKA_.ttf,True,True,True,23
fonts/AMERSN__.ttf,True,True,True,26
fonts/ANKOR___.ttf,True,True,True,25
fonts/ANTHC___.TTF,True,True,True,25
fonts/ANTSYPAN.TTF,True,True,True,28
fonts/ANYWB___.TTF,True,True,True,24
fonts/ANYWL___.TTF,True,True,True,24
fonts/ARashNaziBlurb.ttf,True,True,True,38
fonts/ASENINE_.ttf,True,True,True,32
fonts/ASENST__.ttf,True,True,True,31
fonts/ASENT___.ttf,True,True,True,32
fonts/ASENW___.ttf,True,True,True,31
fonts/ASHBBI__.ttf,True,True,True,25
fonts/ASHBBLI_.ttf,True,True,True,24
fonts/ASHBBL__.ttf,True,True,True,24
fonts/ASHBB___.ttf,True,True,True,25
fonts/ASHBEBI_.ttf,True,True,True,24
fonts/ASHBEB__.ttf,True,True,True,26
fonts/ASHBLI__.ttf,True,True,True,25
fonts/ASHBL___.ttf,True,True,True,26
fonts/ASHBMI__.ttf,True,True,True,25
fonts/ASHBM___.ttf,True,True,True,24
fonts/ASHBOI__.ttf,True,True,True,25
fonts/ASHBW___.ttf,True,True,True,25
fonts/ASTRO867.TTF,False,True,False,28
fonts/ASTRO868.TTF,False,True,False,27
fonts/ASTRO869.TTF,True,True,False,25
fonts/ASWEB___.TTF,True,True,True,24
fonts/ASWELL__.TTF,True,True,True,24
fonts/AUTOMANI.TTF,False,True,False,31
fonts/Aaargh.ttf,True,True,True,19
fonts/Aafia-Italic.otf,True,True,False,22
fonts/Aafia.otf,True,True,False,25
fonts/Aafia3D-Italic.otf,True,True,False,24
fonts/Aafia3D.otf,True,True,False,23
fonts/Aaram-Regular.ttf,True,True,True,25
fonts/AarcoverRegular.ttf,False,True,False,27
fonts/Abandoned-Bold.ttf,False,True,False,34
fonts/Abandoned-BoldItalic.ttf,False,True,False,34
fonts/Abandoned-Italic.ttf,False,True,False,37
fonts/Abandoned.ttf,False,True,False,34
fonts/Abbild.ttf,False,False,False,36
fonts/Abel-Regular.ttf,True,True,True,27
fonts/AbhayaLibre-Bold.ttf,True,True,True,30
fonts/AbhayaLibre-ExtraBold.ttf,True,True,True,29
fonts/AbhayaLibre-Medium.ttf,True,True,True,30
fonts/AbhayaLibre-Regular.ttf,True,True,True,30
fonts/AbhayaLibre-SemiBold.ttf,True,True,True,30
fonts/Abirhand one.ttf,True,True,True,32
fonts/AbrilFatface-Regular.ttf,True,True,True,24
fonts/Absinthe.ttf,True,True,True,26
fonts/AcariSans-Bold.ttf,True,True,True,26
fonts/AcariSans-BoldItalic.ttf,True,True,True,27
fonts/AcariSans-ExtraBold.ttf,True,True,True,26
fonts/AcariSans-ExtraBoldItalic.ttf,True,True,True,27
fonts/AcariSans-ExtraLight.ttf,True,True,True,27
fonts/AcariSans-ExtraLightItalic.ttf,True,True,True,27
fonts/AcariSans-Italic.ttf,True,True,True,27
fonts/AcariSans-Light.ttf,True,True,True,29
fonts/AcariSans-LightItalic.ttf,True,True,True,27
fonts/AcariSans-Medium.ttf,True,True,True,26
fonts/AcariSans-MediumItalic.ttf,True,True,True,28
fonts/AcariSans-Regular.ttf,True,True,True,27
fonts/AcariSans-SemiBold.ttf,True,True,True,26
fonts/AcariSans-SemiBoldItalic.ttf,True,True,True,27
fonts/AccanthisADFStd-Bold.otf,True,True,True,25
fonts/AccanthisADFStd-BoldItalic.otf,True,True,True,25
fonts/AccanthisADFStd-Italic.otf,True,True,True,25
fonts/AccanthisADFStd-Regular.otf,True,True,True,25
fonts/AccanthisADFStdNo2-Bold.otf,True,True,True,25
fonts/AccanthisADFStdNo2-BoldItalic.otf,True,True,True,25
fonts/AccanthisADFStdNo2-Italic.otf,True,True,True,25
fonts/AccanthisADFStdNo2-Regular.otf,True,True,True,25
fonts/AccanthisADFStdNo3-Bold.otf,True,True,True,25
fonts/AccanthisADFStdNo3-BoldItalic.otf,True,True,True,25
fonts/AccanthisADFStdNo3-Italic.otf,True,True,True,25
fonts/AccanthisADFStdNo3-Regular.otf,True,True,True,25
fonts/Accuratist.otf,True,True,True,27
fonts/Accuratist.ttf,True,True,True,27
fonts/Achafexp.ttf,True,True,True,24
fonts/Achafita.ttf,True,True,True,24
fonts/Achaflft.ttf,True,True,True,24
fonts/Achafont.ttf,True,True,True,24
fonts/Achafout.ttf,True,True,True,25
fonts/Achafsex.ttf,True,True,True,23
fonts/AcidDreamer.ttf,True,True,True,26
fonts/AckiPreschool.ttf,True,True,False,21
fonts/Aclonica.ttf,True,True,True,22
fonts/Acme-Regular.ttf,True,True,True,25
fonts/AcornInitials.ttf,False,False,False,29
fonts/Actor-Regular.ttf,True,True,True,25
fonts/Adamina-Regular.ttf,True,True,True,22
fonts/Adine Kirnberg.ttf,True,True,True,29
fonts/AdineKirnberg-Alternate.ttf,True,True,True,30
fonts/AdineKirnberg-Script.ttf,True,True,False,28
fonts/Adlanta-Light.otf,True,True,True,26
fonts/Adlanta.otf,True,True,True,25
fonts/Adler.ttf,True,True,False,20
fonts/AdmiralCAT.ttf,True,True,True,29
fonts/Adolphus Serif.ttf,True,True,True,22
fonts/Adolphus.ttf,True,True,True,25
fonts/Advantage-Italic.ttf,False,True,False,33
fonts/Advantage.ttf,False,True,False,35
fonts/AdventPro-Bold.ttf,True,True,True,27
fonts/AdventPro-ExtraLight.ttf,True,True,True,27
fonts/AdventPro-Light.ttf,True,True,True,25
fonts/AdventPro-Medium.ttf,True,True,True,27
fonts/AdventPro-Regular.ttf,True,True,True,27
fonts/AdventPro-SemiBold.ttf,True,True,True,27
fonts/AdventPro-Thin.ttf,True,True,True,26
fonts/AerojonesNF.ttf,False,True,False,25
fonts/Against Myself.ttf,False,False,False,20
fonts/Agfiustor Free.ttf,True,True,False,20
fonts/Agreloy.otf,False,True,True,30
fonts/Agreloy.ttf,False,True,True,28
fonts/AgreloyInB1.otf,False,True,True,82
fonts/AgreloyInB1.ttf,False,True,True,84
fonts/AgreloyInT3.otf,False,True,True,44
fonts/AgreloyInT3.ttf,False,True,True,58
fonts/AgreloyOut1.otf,False,True,True,29
fonts/AgreloyOut1.ttf,False,True,True,28
fonts/AgreloyS1.otf,False,True,True,26
fonts/AgreloyS1.ttf,False,True,True,29
fonts/AguafinaScript-Regular.ttf,True,True,True,16
fonts/Aika-Bold.otf,True,True,False,18
fonts/Aika-Bold.ttf,True,True,False,21
fonts/Aika-BoldItalic.otf,True,True,False,19
fonts/Aika-BoldItalic.ttf,True,True,False,19
fonts/Aika-Italic.otf,True,True,False,19
fonts/Aika-Italic.ttf,True,True,False,19
fonts/Aika-Regular.otf,True,True,False,19
fonts/Aika-Regular.ttf,True,True,False,18
fonts/Aileron-Black.otf,True,True,True,26
fonts/Aileron-BlackItalic.otf,True,True,True,25
fonts/Aileron-Bold.otf,True,True,True,25
fonts/Aileron-BoldItalic.otf,True,True,True,25
fonts/Aileron-Heavy.otf,True,True,True,25
fonts/Aileron-HeavyItalic.otf,True,True,True,27
fonts/Aileron-Italic.otf,True,True,True,26
fonts/Aileron-Light.otf,True,True,True,27
fonts/Aileron-LightItalic.otf,True,True,True,25
fonts/Aileron-Regular.otf,True,True,True,25
fonts/Aileron-SemiBold.otf,True,True,True,27
fonts/Aileron-SemiBoldItalic.otf,True,True,True,25
fonts/Aileron-Thin.otf,True,True,True,25
fonts/Aileron-ThinItalic.otf,True,True,True,26
fonts/Aileron-UltraLight.otf,True,True,True,28
fonts/Aileron-UltraLightItalic.otf,True,True,True,25
fonts/Air Americana.ttf,False,True,True,31
fonts/Airbrush.otf,False,True,False,32
fonts/Airbrush.ttf,False,True,False,33
fonts/Airstream Futuropolis Regular Mac.ttf,True,True,True,25
fonts/Airstream Futuropolis Regular.ttf,True,True,True,25
fonts/AirstreamNF.otf,True,True,True,27
fonts/AirstreamNF.ttf,True,True,True,26
fonts/Akong_agi.ttf,True,True,True,23
