         2710492 function calls (2566112 primitive calls) in 3.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
392480/392341    0.054    0.000    0.056    0.000 {built-in method builtins.isinstance}
   180600    0.044    0.000    0.063    0.000 nodes.py:137(iter_fields)
   166952    0.034    0.000    0.034    0.000 {built-in method builtins.getattr}
   136527    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
   129080    0.086    0.000    0.176    0.000 nodes.py:155(iter_child_nodes)
    80160    0.042    0.000    0.042    0.000 {method 'match' of 're.Pattern' objects}
    60272    0.015    0.000    0.015    0.000 {built-in method builtins.setattr}
48670/48202    0.006    0.000    0.006    0.000 {built-in method builtins.len}
    47605    0.006    0.000    0.006    0.000 {method 'write' of '_io.StringIO' objects}
    47586    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
45211/25163    0.016    0.000    0.245    0.000 {built-in method builtins.next}
    45024    0.019    0.000    0.030    0.000 visitor.py:20(get_visitor)
45024/168    0.038    0.000    0.459    0.003 visitor.py:28(visit)
    36246    0.015    0.000    0.015    0.000 {built-in method __new__ of type object at 0x6d8060}
    28907    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    28178    0.005    0.000    0.005    0.000 reader.py:87(peek)
    26921    0.006    0.000    0.006    0.000 {method 'count' of 'str' objects}
26572/840    0.026    0.000    0.099    0.000 nodes.py:175(find_all)
25984/6524    0.029    0.000    0.144    0.000 visitor.py:35(generic_visit)
    25592    0.066    0.000    0.133    0.000 lexer.py:662(tokeniter)
    25564    0.013    0.000    0.017    0.000 lexer.py:275(test)
    23283    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    20916    0.017    0.000    0.024    0.000 compiler.py:385(write)
    20549    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
    19620    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    19438    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
    17836    0.011    0.000    0.200    0.000 lexer.py:377(__next__)
    17342    0.003    0.000    0.003    0.000 {built-in method sys.intern}
    17304    0.012    0.000    0.019    0.000 lexer.py:265(__new__)
    17136    0.026    0.000    0.184    0.000 lexer.py:618(wrap)
    16030    0.004    0.000    0.004    0.000 percentages.py:15(percentage)
    14219    0.004    0.000    0.004    0.000 {built-in method builtins.max}
    13459    0.005    0.000    0.005    0.000 scanner.py:279(stale_possible_simple_keys)
    13412    0.006    0.000    0.010    0.000 compiler.py:404(newline)
    13238    0.007    0.000    0.013    0.000 scanner.py:145(need_more_tokens)
    12348    0.007    0.000    0.034    0.000 compiler.py:399(writeline)
    11998    0.006    0.000    0.012    0.000 percentages.py:31(resolve_one_percentage)
    11860    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
    11543    0.002    0.000    0.002    0.000 scanner.py:264(next_possible_simple_key)
    11396    0.004    0.000    0.015    0.000 lexer.py:366(next_if)
    11396    0.004    0.000    0.019    0.000 lexer.py:373(skip_if)
    11003    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
    10383    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    10230    0.003    0.000    0.032    0.000 {method 'extend' of 'collections.deque' objects}
10081/6161    0.004    0.000    0.805    0.000 {method 'join' of 'str' objects}
     9828    0.025    0.000    0.040    0.000 nodes.py:115(__init__)
     9726    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     8159    0.004    0.000    0.007    0.000 re.py:273(_compile)
     8036    0.005    0.000    0.008    0.000 _compat.py:19(<lambda>)
     7884    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     7744    0.006    0.000    0.067    0.000 scanner.py:113(check_token)
7532/7308    0.002    0.000    0.002    0.000 idtracking.py:54(find_ref)
     7347    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     7222    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
     6888    0.005    0.000    0.090    0.000 lexer.py:398(expect)
6647/6642    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
5852/1064    0.001    0.000    0.001    0.000 boxes.py:352(descendants)
     5824    0.003    0.000    0.003    0.000 {method 'groupdict' of 're.Match' objects}
     5824    0.002    0.000    0.002    0.000 lexer.py:716(<genexpr>)
     5661    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     5656    0.001    0.000    0.001    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
     5637    0.007    0.000    0.008    0.000 reader.py:99(forward)
     5594    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     5516    0.003    0.000    0.003    0.000 lexer.py:339(__bool__)
     5020    0.002    0.000    0.002    0.000 error.py:6(__init__)
     5020    0.003    0.000    0.005    0.000 reader.py:114(get_mark)
     4984    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
     4900    0.003    0.000    0.010    0.000 idtracking.py:213(visit_Name)
     4786    0.002    0.000    0.003    0.000 reader.py:94(prefix)
     4576    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     4500    0.005    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     4430    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     4394    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     4337    0.001    0.000    0.007    0.000 re.py:172(match)
     4331    0.001    0.000    0.001    0.000 enum.py:633(value)
     4331    0.001    0.000    0.002    0.000 types.py:164(__get__)
     4172    0.002    0.000    0.003    0.000 idtracking.py:60(ref)
     4172    0.001    0.000    0.001    0.000 ast.py:53(__init__)
     4168    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4088    0.003    0.000    0.004    0.000 compiler.py:228(visit_Name)
     3976    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
     3893    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     3886    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     3864    0.002    0.000    0.003    0.000 computed_values.py:412(border_width)
     3750    0.001    0.000    0.001    0.000 api.py:180(_typeof)
     3716    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     3668    0.001    0.000    0.001    0.000 boxes.py:142(padding_height)
     3668    0.002    0.000    0.002    0.000 boxes.py:151(border_height)
     3612    0.004    0.000    0.007    0.000 compiler.py:1332(_output_child_to_const)
     3504    0.001    0.000    0.004    0.000 _inputstream.py:234(char)
     3467    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     3446    0.002    0.000    0.083    0.000 parser.py:94(check_event)
     3441    0.001    0.000    0.001    0.000 {method 'groups' of 're.Match' objects}
3182/3174    0.001    0.000    0.001    0.000 wandb_settings.py:1153(__getattribute__)
     3136    0.001    0.000    0.001    0.000 nodes.py:82(get_eval_context)
     3080    0.001    0.000    0.003    0.000 idtracking.py:99(load)
     3038    0.001    0.000    0.001    0.000 boxes.py:138(padding_width)
     3038    0.001    0.000    0.002    0.000 boxes.py:146(border_width)
     3031    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     2942    0.001    0.000    0.001    0.000 wandb_config.py:132(__getitem__)
     2942    0.001    0.000    0.002    0.000 wandb_config.py:164(__getattr__)
     2912    0.001    0.000    0.001    0.000 nodes.py:407(as_const)
     2911    0.002    0.000    0.005    0.000 api.py:242(new)
     2911    0.001    0.000    0.001    0.000 {built-in method _cffi_backend.newp}
     2856    0.001    0.000    0.005    0.000 lexer.py:609(_normalize_newlines)
     2856    0.001    0.000    0.001    0.000 compiler.py:352(outdent)
     2772    0.001    0.000    0.001    0.000 compiler.py:348(indent)
     2767    0.002    0.000    0.003    0.000 scanner.py:1416(scan_line_break)
     2744    0.003    0.000    0.003    0.000 idtracking.py:41(_define_ref)
     2660    0.001    0.000    0.001    0.000 tokenizer.py:204(_is_name_start)
     2660    0.001    0.000    0.002    0.000 tokenizer.py:213(_is_ident_start)
     2652    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     2632    0.002    0.000    0.002    0.000 nodes.py:543(as_const)
     2604    0.002    0.000    0.003    0.000 compiler.py:1325(_output_const_repr)
     2576    0.001    0.000    0.004    0.000 computed_values.py:381(bleed)
     2572    0.000    0.000    0.001    0.000 os.py:758(decode)
     2436    0.005    0.000    0.034    0.000 parser.py:569(parse_primary)
     2424    0.001    0.000    0.001    0.000 wandb_settings.py:339(__setattr__)
2408/1624    0.001    0.000    0.111    0.000 parser.py:442(parse_expression)
2408/1624    0.002    0.000    0.107    0.000 parser.py:464(parse_or)
2408/1624    0.002    0.000    0.104    0.000 parser.py:473(parse_and)
2408/1624    0.002    0.000    0.100    0.000 parser.py:482(parse_not)
